hh_pub_hex,emoji,unicode_codepoint,h,s,l
0251dd1c2cd1c56f145a7a4948e3a8c6244ed67f0ada875373fbedb33b710f23b5,⍺,U+237A,342,60,50
02039188112b90add9b703a742a7a1b72fb52c5ab4605ca1941e1e5156cf607e13,⍃,U+2343,325,74,51
02fd70fbe81329dc00111ee83caf1ce3f139f5626b6d75a12e5bd576b089a91f7a,⎯,U+23AF,185,76,50
021c184f727545c1edb850e5ff5948ab2f7883616e6cf457ffd2f86f97cefdc532,⍂,U+2342,99,73,68
021a0fd67a4f2a57b9e7555a2ffc2b681d31281360b4f7f1a5ef61c9b37c9d99bc,⎩,U+23A9,184,66,58
0237ba2548af2d7f661479b02f5d38eb15963d342c871a58b00e7edb7d29b4dcf4,⍄,U+2344,251,81,53
02cbf5b92ea3db494d9a93e343eadd48ecba37051d2500ab39106d3d432eb28573,⌿,U+233F,282,60,68
02af76b8964273ffb4348a3887a6cac1dba5442c08bc1d23f2ba87b34aa168e646,⇌,U+21CC,51,82,55
022394632e210dca7f6c8da033b96f21269c8954de801c07bc912c4ab941f387cd,⏤,U+23E4,332,64,59
02a4d464156400cef8ead9ac30fbffb6aaf25af8d8157c78ba3404333fdd83e861,⇇,U+21C7,321,84,60
02c3a375612a8c4e37eab167a64bafd57755effb7164a56eb073061e78b2775f10,↿,U+21BF,188,80,66
02a7b7395a2d27c05ddb396c4f990d4fb7d53f583a21e4260306476d224e130bda,╗,U+2557,43,85,70
02edee9b517446c31f8c3b60a7d37fedda3965601ef45fdeb39c765e3951b34653,⏡,U+23E1,240,63,51
029001e8a851e8a0ef5a4e38bb155a2bd3ff6f5821c042aee49f8e8169b114171d,⇇,U+21C7,325,76,56
02913473369477eae529b63980203c93652394d4480a81ff56bb02bcac83ad7f2d,⏪,U+23EA,108,63,55
022356f55615b26cbc84f751005d560b9ba0823d878a43f6fabccc0462a78abe32,┫,U+252B,141,62,66
02f9b4f45a038cccb24786b8c2ba19def2e3281e4940671829b857d8ce715d6070,⌟,U+231F,342,76,64
026985ede3deeee495c3b3f482219f70b8062a360ec837ba0c41d0d7d3a7691cc3,┤,U+2524,259,77,56
0217da99e94942ef823e9dc7fef399f7a1736d92e1da158476bf8320d6504c01cb,⇯,U+21EF,117,83,51
022253c6afbfb3c73bd393cdce3e88d45a275958c2debfeeea90e2fdaafa795f74,⎳,U+23B3,90,85,56
02a83185cdc9005ec5c5b74f602459644d1b6b8644b201e5e4b72c1b379f0e6b40,╈,U+2548,331,67,53
02f2d838d26f4bcca6b97a527c1ad67e67809c8b2033cb9fe531ea49d95c042f06,⍭,U+236D,217,64,59
02f512c4b01861738f8151cc68d02f9ed4956b3ba7420b8b94e5b573b65ad9ffe3,⌴,U+2334,277,78,61
02890bfdbda86a4bb6aebff5692fec7cc1d1a995a5e2002856fd445f6fedc78442,╪,U+256A,273,83,57
024fce5e7ce991585e760330c203d1fa3d1443b908b4c31d251a7bda251f87b7c0,⍴,U+2374,339,62,58
02231126d859f1a94e1588aac438e5827a9423405bfaa2c8f07e953bd2ed162bba,⍛,U+235B,312,65,53
02d5ef0a70f1578acf9c09bfbd4f66e7f97e606cb94cbedf85f59cb320b73ae365,⇊,U+21CA,231,85,54
027ec82f77d66d5cd72887f1ac5bcc16b7951b1aa6fc95033bdee365ac740e5086,⌷,U+2337,300,73,56
020b95e16bbb39889b8ef51aaecba580a8795f3eb06d9d722f36d26eb56a78002e,⍇,U+2347,124,72,67
0255ceb9cbb50c08424444f5e77e4a49118fd355b854e131bf9a2ad9f341b6733f,┺,U+253A,320,74,53
02531d34434daab698ae67dce800191e8a1022cbe08e323ebba53d18351cefe59d,⌜,U+231C,72,79,65
02f8c72e4b1f372bbfe48693ff9cb0c04b60bc3b3df6c54e25e847f6e83486781e,┱,U+2531,248,85,70
02bac3e0e3a5bb88e57c775c042a41c3a2c2da6af085b1963fba308f8bd0c5db52,⌅,U+2305,4,65,55
0287119b7ab601694e405b978f1708e6b7293a2a451bfc962d31e6ebd99bf8781b,⇣,U+21E3,115,69,55
028193f83b01b21fb7e328ea22ede48bd8828a9a6d8ca53634d90f16d85877dceb,↥,U+21A5,345,84,67
0204642ca214cee14e9e210bb8a083fdbc0324b116bc2ede556a6ad54dc1b68933,⎢,U+23A2,80,68,60
02a52f7a69d011a4954bc6c816375079ae8c4d40e1c01d5819b18282eb3378bb41,⌗,U+2317,176,80,68
02a8c7288725d7a558bccf19949db06e00bfacb1a8ef622ee199d94a63809df8c4,╠,U+2560,208,69,70
02ce728025bdcd59ac76fea00f686d3dc36f915bafc26b367a83759e349ad1da7c,▄,U+2584,116,75,54
027f409b27e44636122078067b0d5ce2d29e9a59934930b959ddc460d91322ac2c,↞,U+219E,50,81,66
02e62a4bd7063ca8eb951bee57c09cec4f4da39354f8b6bb2cda09bfaabfe4e29c,⌙,U+2319,62,72,64
027c8183f06ef17592e8d998cb59baf3f594e4efd59fd1c445f1f9e81833bc4318,⇸,U+21F8,338,70,57
02d3b67e915d3a4fe39725487e338cd8f0b9cdf4dbc5c8278a7eef49e1e3180939,⍤,U+2364,101,63,67
028a7832b1674019671a300ee42a477841392bf16a71f5fb5a089b079512b74bfa,↘,U+2198,226,64,61
02f9af179d6baa4da7597d72acb0b4fde5c832344e27ad3e26aabfd12a7026935b,╍,U+254D,341,62,52
0275c9966ad3dcf1800ae29e081d4a721f1cafabc2731319603cd6781468c7815e,⍜,U+235C,50,85,63
02ad22678c8aa42735081593db3ac8e741374ceb8b6cdefc6f8ccaa3faeba6f300,┊,U+250A,305,78,52
02d3078c03b2619338c6db6934423b13024025d7414621c117b7fd66326e66824b,⇮,U+21EE,1,61,50
02ec248e4b583d2008213cb0be0da09562b5fb902dd282005adb6b98a176477a3c,↢,U+21A2,101,61,69
029adba0ed1368d9fad39575845f71be972420d4287a34e2b58b138f89644c8395,⌂,U+2302,247,60,64
0296670a11fc219fac80baf01f83c38d7be442e5935dd67a944432298ebd920322,⇘,U+21D8,343,71,67
021944fd0b517e811728894429908f1c4ca1469ceaee5cd5f4b46548d1df0063d7,↲,U+21B2,185,68,50
0211aa20393ce9dc13b67322d7a1d53907da90f8c91b82f626e18431fb260b3cb5,⌚,U+231A,4,67,53
0241b933af093e87f6ced1f01c9e21da1d164a697a04498f937c60079bb27a5ab9,↰,U+21B0,332,64,56
0222c439c4ea55bab75748d23c48b32e9310507736b8ff02f70465839925475a0e,╌,U+254C,45,60,56
025776bcf8cf2c10da3df1d76295c6e57926bdc6157e66da82ddcb54cae5079f8e,⌝,U+231D,266,79,69
02e855bac8c86128896c3ebc9bd8d683fec2acd4242918660553b0139ec659615c,⏦,U+23E6,242,67,58
0241aec51128a3f5ce6316bcb9f4193823c287f34a4104ef7bea211115b9b84070,┶,U+2536,198,81,52
02303fab5e3ee66457ee5f44e1a94163b1875af053b0d9ed28770e61776fff9861,⇰,U+21F0,359,82,52
02151806e6d546b4352cdfd1848fc08c9f7e3fcc0b45a84d3cb1f536b1ea8f3fdc,↽,U+21BD,166,75,63
02c4dc06b6f5c17e2c021717034ff3ecc3aaf7f34e0b1d24d1c314b6a7b565452f,→,U+2192,176,62,62
02b59ea779cff5adfcb620d5b43d8c3e5dc971f9931f146939fc1c5132d5f0ecc3,⍚,U+235A,200,66,51
0264034b29e665ac8210104cc563da262f4f09ad2ef8946be86fe8df856bb38088,↢,U+21A2,147,84,69
02cea1e6f28ce16438d91916e2fb72e78135765a30908c3607356fb172e4802cce,┭,U+252D,239,64,66
02b14ccba12811b7c97d2ab0cc4386558ddf8b03be0a9a5e6828358bf5c0d941ae,⍲,U+2372,128,78,59
02569463ab956b2a3f9074aa61b3e12799daedce0fc956606b5ce412f8e3f2486d,↑,U+2191,234,77,70
02c20d54c3878970d54509bb46ff2b093957f3babf898dddfbbe20bf7413b16589,⎊,U+238A,308,64,62
029b7fba31e4eeda2887a224e94a80d7da8a188c0ea8df7760b5f51cb3c2cfd93b,↻,U+21BB,6,79,61
021fce79e8e21688e933f96ca67e1b43f0dd2d4f2bd9b618f6fef11a1f9b7e0e9c,⎄,U+2384,356,83,50
0253d1a12a979c5bb7c4da91ebc08346374cf539108bc1e84a9b6897b3bff5130c,⏔,U+23D4,57,63,61
0212f21f48a28600ab103c4758ed197761bb8e998591ca3a829b4fb404e78385ee,⍲,U+2372,316,67,55
02ea5ac623b07ec481f9b607a7b1b0717a527a36e0cfe34c5298e1315044bc0ed9,⍎,U+234E,205,72,56
029fbacef8f0a3a3dd049a7f8a3408a73e012eed814a63dc6eb035826978a77848,┨,U+2528,292,77,53
029225f272ccc169b44ba898f6a752e481fd5f7ab8ed9d03dfe0ffa5eeb7aedfc3,⏯,U+23EF,313,84,54
02f8d1f8690bde00b77700646b67a9f1877d7d60dcc4a9cee961235946cb017a3b,⎼,U+23BC,51,72,64
024bcccbb9ee6f17e826e76976afefbeed4f7dc08aa7b71035178002c1a7235620,⎘,U+2398,158,83,69
02848b49b321afc54c85652800adcad0690373423dc2fa28f2656a098dbe0296c4,⍻,U+237B,182,60,55
02ffb834bea83c5e0ce96ce394112cd784e10a733fbc8152d6b17687f4bb15bc0a,⇋,U+21CB,40,81,63
02429ad23bf801a9d058bf93a8fbfb32f1982dd1d6a7a3da697d16e0ffd0184e63,┬,U+252C,341,62,51
02f052217b8d5c3560fee1432a94516a1b45b7bda646f80d7361e43e9c07decaee,⇖,U+21D6,116,64,68
02a49216e3a004d15cd6ebb6e6039764e73feb53e927d37d84d77a68e1b41f7729,↺,U+21BA,315,73,55
02838f0c1b1764dcd7a79fb9a4fd8807f79abe13f5a7dd8121d396bfcc2b2e2107,⇩,U+21E9,72,77,53
02fc9ce74827ee42f68eee8ee625af47337d39701de956e9793330138618095ff3,⇡,U+21E1,155,65,57
02332d38ef6ee48445ed057fa0a139e123f9c5f8d85a5138e64bf19e7b0c49af40,┭,U+252D,174,64,61
02db6d004cec721282c919e48a7b62a87a374707d989db68e1e53e120517000f85,⌊,U+230A,289,62,70
02e11848d14d02e08edb714554dc94cdd169a4e1f4fc2a9aadb02578fd939e3690,╜,U+255C,341,60,55
0218eb8113cab64a883bb41d6fce272616ed3d121ad2e2fff2b2b88bd0dda5f299,⇋,U+21CB,22,82,55
02eb921bb58212c851bb60f1ef307c28ad5e2267164a5459fb20d31ac3597870e4,⎝,U+239D,35,79,70
02c4d70ec193a33e0076a3a804d23317abd130d0d8447c8ed4607342c5ecc0f224,⌎,U+230E,294,84,53
02946e948c1e0c17df74414ab5bc15959d75db0bbfa602c5e4e39ce79d11b55ea2,⎪,U+23AA,304,66,64
02ae41340bb90f697420f78aeec12224163f9e40359f4d55884ad7eaa392701a93,⎼,U+23BC,174,76,64
0245b85e651b28d020f530f721a32cf647df358fa0be9c170ffbc8011350ed8d6a,⏫,U+23EB,82,79,66
02c642651643e57411d41c7502b6f8659151e4461bbd22e7f657ea72027368fcef,╆,U+2546,227,78,63
021f6957a3d38eb6675357f6b678d9afff19adc3cc0b9dcb81c3c26363faedd29d,⏽,U+23FD,129,65,54
021ffa8aa94c19bd092f1ed01bd208f250259996222ce3172be14f67e36a96aae3,⎝,U+239D,160,74,60
021423184835e048906d58a4952eff6e3a64ef8cc8f9e2e3fac093912683d97210,⍛,U+235B,218,84,58
024e085e2f080059c05b2c1310497a642e42d1255ab27413ffbf3e86552041d9f7,⍩,U+2369,144,75,59
02c9158ae78a4aa092126dfcdbfa287073f408286270540f9ad7487ee67ec20da1,⎑,U+2391,98,61,66
023a2c28bb5e857146447bfaca69d65cc3b121a61578fa4c8ffd6417e5701525a6,╇,U+2547,243,60,56
02d13277880598b824b0566904dff39623e02378bb403b902b23c25bbcbbc9176d,╟,U+255F,169,68,65
026a9211239daedc8a726621b53ec9d4ad773f140ef5c11889d5e8a6f2e2dde4ed,⍒,U+2352,238,65,67
0218ee668d506c50d606527ef6735b7c583b2ed50230fb9b55c0655b510624a2f3,╈,U+2548,89,60,62
02aa70bb5abe92b1debc760a41d2c5b795eae1b1acc795a49ff67d2e8f5016d8db,┝,U+251D,223,79,58
022f4562ac7a0076beecd162f0441a6898b168c876c01d9900e25f9603e9c4ffa9,⏆,U+23C6,229,80,67
02832ce924c7a2eea79bdd397bc10f945cdfba9e94431ab7036916ceaffc61f76a,▆,U+2586,31,84,57
02585265a90a325cc4e7d6325739d39e75c700f5f75113564d21ea46ea369214b5,⌏,U+230F,266,80,58
028ea0d7c32437a570c209d9cd3b68092227ec005c00f479271f88d290b119d210,⎫,U+23AB,46,74,60
025f037ea497cecfde1cdf3d847a85d2f3193ef42ec7819b239c74e5a85b3df865,⎓,U+2393,259,60,61
0280136fc2902739e59cb3124e1c4682ada21276fb03e2cf2a382f610a750352a5,⎻,U+23BB,168,73,59
02313c50e00b417b9d92c5ba18ed65ed7458c711b351ae680a000362d7f1e6a97a,⍑,U+2351,49,74,52
02c4c8f72ee61cc3f5ce82d3b0f5faf03fec006f8d0a79e56484819bacdb043fea,┄,U+2504,124,81,64
02bf896a0a48cea6867910ad1ad57aea7c4aa40624a7fdf9699cd47a172c92ce68,┶,U+2536,71,70,51
02f3b6b537f78a3192ecc99e5eb9072d009839484ca55a599682771352b481d31c,⇜,U+21DC,324,60,55
02495c4c5fa9097507153e52ffe0b3adb6cc1a3a8f003d7adf541af703cfba91d3,⌰,U+2330,38,79,63
028f21347668e6ac3a6cf728f9989b47961535ef9bbe922f79eeb62ac4f69cfaa8,⌐,U+2310,280,80,68
028701ff4eefb8752a1b242f80a35ad45d2eecee072bf70adfc2f5d1fd329ac285,⎚,U+239A,49,78,64
020f4807d795d0305b299e56a6bb89ed53cf767b2823e965e91ca647b5fa2918e4,⏓,U+23D3,243,71,50
02377109ad20497257cbba6dc518f79fc774f3065f1c264bd87ffffebb802f02c8,⎪,U+23AA,324,60,64
02c175a329893f233bec7ceaacb37c0f0532a55d7026cd85dd1061b40242cc7217,⇅,U+21C5,264,84,62
02a5f5a7947e3d3c4330f9afaeba57105d25170f359705a4242f24e86b76df6052,⎾,U+23BE,79,64,59
024207842b48f95c3813d30e08e2a555ed6fde5a2cef1fb2bd6233e508be857ec9,⍚,U+235A,358,77,55
