m_pub_hex,nonce_hex,hostname,emoji_1,emoji_2,emoji_3,emoji_4,emoji_5,emoji_6
029810aa99ace4d0d62d3bf7b871360a372da5ca99645154fe570a45c20178ae7d,ab57ba2d0eec3ad514af3766cbe205eefb2550607bafd21235773f85d83368f1,macbook,⚙,🔅,⏴,🆘,💫,🔘
02ed49506b809becfea2dafeff63654a0e78edca69f5c1b210590c17ee86d6bbc4,18f70404b3919df17d1430c0bc23fcfe9cf7b7e029dd14bb7ae5b593e8f800e7,studio,📷,⇲,⇑,🏁,🗍,┣
022bffea8bddef2310296d537acff534ce7ccaa5f0663dca13a001675ac7d28888,b452941e424ac31052ba3e7e0f14972a6997eef469025fb50c7f67b19a15939d,linux-server,⌆,🆖,🕦,⎎,🙍,⎽
02d1521c19bf01df72ded9e8bb3fdb0e977dd53f75d8a90f19a6e74cada8fa9395,f0609459c63f2b6c8bc029acfaab96164ba6f95614bf2f633728df7b94258d2b,ubuntu,♴,🗝,║,🍱,🍖,◍
023e9273088bf1ec152f118bb6351b645fde3d9cdcdbbc5f4efcfc51d6cb54b2a2,8c24ddc993527117f3e029de50ce01eff3494eda8b5dd218f300db477ceedbe7,raspberry-pi,☡,👔,♏,┾,🕥,➦
02d29a22e9b831fb93f176ce34c41af91b6ca716ae74c7f63ce439c92a421c05de,7a058b0adbeb01e93176cab8d5b0bf4b75857b297ed7a7bad274f81f6808fab0,nixos-box,❳,⍠,ℹ,🏀,✼,🙎
023bc6ee513e0689e2ca1480f27512c174b4f4a2d9f10c39d6930db35051f57f72,1bb909594a64460a139b98dfb47b97c94c6aa2d1553e5f2b80da858619e0a2fd,caio-mac,🔟,🔑,▟,❰,🌟,😬
02b4daff0af8c27fa6a538e9ba30529aee79271baffc0c7f508ecb215ffdcb3a74,bd796f3604ddc5e632f4d3acb4cb5495434953b8afb8dce6dd4cbdeb89df4838,server-01,❰,⏃,🚮,🛊,🗄,➪
021323654ef1a16457485dee310506a7a2090f7f13f878a9938871dea4aaf21740,3020d0930081ce742fdc7c5866838b0866686ff011b6fcda91123ad9a749c8b6,dev-machine,⛶,🌟,💭,🐌,®,╼
020ec64681312860e31f628c04f097d7eab6aa4c99aaec4f55f03aa16f30945d0a,9dafb5620ce49b5ffdc8ce6fd373ac2dd57a15cd37b4992c012e6e403b66e079,home-server,╏,↚,☲,╰,⌅,⛤
