word_index,emoji,unicode_codepoint
0,©,U+00A9
1,®,U+00AE
2,‼,U+203C
3,⁉,U+2049
4,™,U+2122
5,ℹ,U+2139
6,←,U+2190
7,↑,U+2191
8,→,U+2192
9,↓,U+2193
10,↔,U+2194
11,↕,U+2195
12,↖,U+2196
13,↗,U+2197
14,↘,U+2198
15,↙,U+2199
16,↚,U+219A
17,↛,U+219B
18,↜,U+219C
19,↝,U+219D
20,↞,U+219E
21,↟,U+219F
22,↠,U+21A0
23,↡,U+21A1
24,↢,U+21A2
25,↣,U+21A3
26,↤,U+21A4
27,↥,U+21A5
28,↦,U+21A6
29,↧,U+21A7
30,↨,U+21A8
31,↩,U+21A9
32,↪,U+21AA
33,↫,U+21AB
34,↬,U+21AC
35,↭,U+21AD
36,↮,U+21AE
37,↯,U+21AF
38,↰,U+21B0
39,↱,U+21B1
40,↲,U+21B2
41,↳,U+21B3
42,↴,U+21B4
43,↵,U+21B5
44,↶,U+21B6
45,↷,U+21B7
46,↸,U+21B8
47,↹,U+21B9
48,↺,U+21BA
49,↻,U+21BB
50,↼,U+21BC
51,↽,U+21BD
52,↾,U+21BE
53,↿,U+21BF
54,⇀,U+21C0
55,⇁,U+21C1
56,⇂,U+21C2
57,⇃,U+21C3
58,⇄,U+21C4
59,⇅,U+21C5
60,⇆,U+21C6
61,⇇,U+21C7
62,⇈,U+21C8
63,⇉,U+21C9
64,⇊,U+21CA
65,⇋,U+21CB
66,⇌,U+21CC
67,⇍,U+21CD
68,⇎,U+21CE
69,⇏,U+21CF
70,⇐,U+21D0
71,⇑,U+21D1
72,⇒,U+21D2
73,⇓,U+21D3
74,⇔,U+21D4
75,⇕,U+21D5
76,⇖,U+21D6
77,⇗,U+21D7
78,⇘,U+21D8
79,⇙,U+21D9
80,⇚,U+21DA
81,⇛,U+21DB
82,⇜,U+21DC
83,⇝,U+21DD
84,⇞,U+21DE
85,⇟,U+21DF
86,⇠,U+21E0
87,⇡,U+21E1
88,⇢,U+21E2
89,⇣,U+21E3
90,⇤,U+21E4
91,⇥,U+21E5
92,⇦,U+21E6
93,⇧,U+21E7
94,⇨,U+21E8
95,⇩,U+21E9
96,⇪,U+21EA
97,⇫,U+21EB
98,⇬,U+21EC
99,⇭,U+21ED
100,⇮,U+21EE
101,⇯,U+21EF
102,⇰,U+21F0
103,⇱,U+21F1
104,⇲,U+21F2
105,⇳,U+21F3
106,⇴,U+21F4
107,⇵,U+21F5
108,⇶,U+21F6
109,⇷,U+21F7
110,⇸,U+21F8
111,⇹,U+21F9
112,⇺,U+21FA
113,⇻,U+21FB
114,⇼,U+21FC
115,⇽,U+21FD
116,⇾,U+21FE
117,⇿,U+21FF
118,⌀,U+2300
119,⌁,U+2301
120,⌂,U+2302
121,⌃,U+2303
122,⌄,U+2304
123,⌅,U+2305
124,⌆,U+2306
125,⌇,U+2307
126,⌈,U+2308
127,⌉,U+2309
128,⌊,U+230A
129,⌋,U+230B
130,⌌,U+230C
131,⌍,U+230D
132,⌎,U+230E
133,⌏,U+230F
134,⌐,U+2310
135,⌑,U+2311
136,⌒,U+2312
137,⌓,U+2313
138,⌔,U+2314
139,⌕,U+2315
140,⌖,U+2316
141,⌗,U+2317
142,⌘,U+2318
143,⌙,U+2319
144,⌚,U+231A
145,⌛,U+231B
146,⌜,U+231C
147,⌝,U+231D
148,⌞,U+231E
149,⌟,U+231F
150,⌠,U+2320
151,⌡,U+2321
152,⌢,U+2322
153,⌣,U+2323
154,⌤,U+2324
155,⌥,U+2325
156,⌦,U+2326
157,⌧,U+2327
158,⌨,U+2328
159,〈,U+2329
160,〉,U+232A
161,⌫,U+232B
162,⌬,U+232C
163,⌭,U+232D
164,⌮,U+232E
165,⌯,U+232F
166,⌰,U+2330
167,⌱,U+2331
168,⌲,U+2332
169,⌳,U+2333
170,⌴,U+2334
171,⌵,U+2335
172,⌶,U+2336
173,⌷,U+2337
174,⌸,U+2338
175,⌹,U+2339
176,⌺,U+233A
177,⌻,U+233B
178,⌼,U+233C
179,⌽,U+233D
180,⌾,U+233E
181,⌿,U+233F
182,⍀,U+2340
183,⍁,U+2341
184,⍂,U+2342
185,⍃,U+2343
186,⍄,U+2344
187,⍅,U+2345
188,⍆,U+2346
189,⍇,U+2347
190,⍈,U+2348
191,⍉,U+2349
192,⍊,U+234A
193,⍋,U+234B
194,⍌,U+234C
195,⍍,U+234D
196,⍎,U+234E
197,⍏,U+234F
198,⍐,U+2350
199,⍑,U+2351
200,⍒,U+2352
201,⍓,U+2353
202,⍔,U+2354
203,⍕,U+2355
204,⍖,U+2356
205,⍗,U+2357
206,⍘,U+2358
207,⍙,U+2359
208,⍚,U+235A
209,⍛,U+235B
210,⍜,U+235C
211,⍝,U+235D
212,⍞,U+235E
213,⍟,U+235F
214,⍠,U+2360
215,⍡,U+2361
216,⍢,U+2362
217,⍣,U+2363
218,⍤,U+2364
219,⍥,U+2365
220,⍦,U+2366
221,⍧,U+2367
222,⍨,U+2368
223,⍩,U+2369
224,⍪,U+236A
225,⍫,U+236B
226,⍬,U+236C
227,⍭,U+236D
228,⍮,U+236E
229,⍯,U+236F
230,⍰,U+2370
231,⍱,U+2371
232,⍲,U+2372
233,⍳,U+2373
234,⍴,U+2374
235,⍵,U+2375
236,⍶,U+2376
237,⍷,U+2377
238,⍸,U+2378
239,⍹,U+2379
240,⍺,U+237A
241,⍻,U+237B
242,⍼,U+237C
243,⍽,U+237D
244,⍾,U+237E
245,⍿,U+237F
246,⎀,U+2380
247,⎁,U+2381
248,⎂,U+2382
249,⎃,U+2383
250,⎄,U+2384
251,⎅,U+2385
252,⎆,U+2386
253,⎇,U+2387
254,⎈,U+2388
255,⎉,U+2389
256,⎊,U+238A
257,⎋,U+238B
258,⎌,U+238C
259,⎍,U+238D
260,⎎,U+238E
261,⎏,U+238F
262,⎐,U+2390
263,⎑,U+2391
264,⎒,U+2392
265,⎓,U+2393
266,⎔,U+2394
267,⎕,U+2395
268,⎖,U+2396
269,⎗,U+2397
270,⎘,U+2398
271,⎙,U+2399
272,⎚,U+239A
273,⎛,U+239B
274,⎜,U+239C
275,⎝,U+239D
276,⎞,U+239E
277,⎟,U+239F
